filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
GW1_1_1.png,15663,"{}",100,0,"{""name"":""point"",""cx"":275,""cy"":14}","{}"
GW1_1_1.png,15663,"{}",100,1,"{""name"":""point"",""cx"":270,""cy"":22}","{}"
GW1_1_1.png,15663,"{}",100,2,"{""name"":""point"",""cx"":239,""cy"":26}","{}"
GW1_1_1.png,15663,"{}",100,3,"{""name"":""point"",""cx"":265,""cy"":68}","{}"
GW1_1_1.png,15663,"{}",100,4,"{""name"":""point"",""cx"":154,""cy"":64}","{}"
GW1_1_1.png,15663,"{}",100,5,"{""name"":""point"",""cx"":143,""cy"":124}","{}"
GW1_1_1.png,15663,"{}",100,6,"{""name"":""point"",""cx"":191,""cy"":151}","{}"
GW1_1_1.png,15663,"{}",100,7,"{""name"":""point"",""cx"":295,""cy"":175}","{}"
GW1_1_1.png,15663,"{}",100,8,"{""name"":""point"",""cx"":315,""cy"":205}","{}"
GW1_1_1.png,15663,"{}",100,9,"{""name"":""point"",""cx"":145,""cy"":170}","{}"
GW1_1_1.png,15663,"{}",100,10,"{""name"":""point"",""cx"":162,""cy"":147}","{}"
GW1_1_1.png,15663,"{}",100,11,"{""name"":""point"",""cx"":140,""cy"":185}","{}"
GW1_1_1.png,15663,"{}",100,12,"{""name"":""point"",""cx"":140,""cy"":204}","{}"
GW1_1_1.png,15663,"{}",100,13,"{""name"":""point"",""cx"":149,""cy"":257}","{}"
GW1_1_1.png,15663,"{}",100,14,"{""name"":""point"",""cx"":101,""cy"":317}","{}"
GW1_1_1.png,15663,"{}",100,15,"{""name"":""point"",""cx"":121,""cy"":356}","{}"
GW1_1_1.png,15663,"{}",100,16,"{""name"":""point"",""cx"":138,""cy"":355}","{}"
GW1_1_1.png,15663,"{}",100,17,"{""name"":""point"",""cx"":94,""cy"":407}","{}"
GW1_1_1.png,15663,"{}",100,18,"{""name"":""point"",""cx"":159,""cy"":369}","{}"
GW1_1_1.png,15663,"{}",100,19,"{""name"":""point"",""cx"":135,""cy"":488}","{}"
GW1_1_1.png,15663,"{}",100,20,"{""name"":""point"",""cx"":187,""cy"":405}","{}"
GW1_1_1.png,15663,"{}",100,21,"{""name"":""point"",""cx"":195,""cy"":415}","{}"
GW1_1_1.png,15663,"{}",100,22,"{""name"":""point"",""cx"":190,""cy"":432}","{}"
GW1_1_1.png,15663,"{}",100,23,"{""name"":""point"",""cx"":191,""cy"":466}","{}"
GW1_1_1.png,15663,"{}",100,24,"{""name"":""point"",""cx"":197,""cy"":490}","{}"
GW1_1_1.png,15663,"{}",100,25,"{""name"":""point"",""cx"":195,""cy"":498}","{}"
GW1_1_1.png,15663,"{}",100,26,"{""name"":""point"",""cx"":170,""cy"":502}","{}"
GW1_1_1.png,15663,"{}",100,27,"{""name"":""point"",""cx"":148,""cy"":527}","{}"
GW1_1_1.png,15663,"{}",100,28,"{""name"":""point"",""cx"":177,""cy"":571}","{}"
GW1_1_1.png,15663,"{}",100,29,"{""name"":""point"",""cx"":224,""cy"":528}","{}"
GW1_1_1.png,15663,"{}",100,30,"{""name"":""point"",""cx"":195,""cy"":598}","{}"
GW1_1_1.png,15663,"{}",100,31,"{""name"":""point"",""cx"":195,""cy"":604}","{}"
