filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
GW1_1_2.png,12512,"{}",61,0,"{""name"":""point"",""cx"":179,""cy"":27}","{}"
GW1_1_2.png,12512,"{}",61,1,"{""name"":""point"",""cx"":73,""cy"":76}","{}"
GW1_1_2.png,12512,"{}",61,2,"{""name"":""point"",""cx"":212,""cy"":46}","{}"
GW1_1_2.png,12512,"{}",61,3,"{""name"":""point"",""cx"":229,""cy"":52}","{}"
GW1_1_2.png,12512,"{}",61,4,"{""name"":""point"",""cx"":250,""cy"":56}","{}"
GW1_1_2.png,12512,"{}",61,5,"{""name"":""point"",""cx"":261,""cy"":57}","{}"
GW1_1_2.png,12512,"{}",61,6,"{""name"":""point"",""cx"":288,""cy"":55}","{}"
GW1_1_2.png,12512,"{}",61,7,"{""name"":""point"",""cx"":305,""cy"":51}","{}"
GW1_1_2.png,12512,"{}",61,8,"{""name"":""point"",""cx"":324,""cy"":46}","{}"
GW1_1_2.png,12512,"{}",61,9,"{""name"":""point"",""cx"":330,""cy"":43}","{}"
GW1_1_2.png,12512,"{}",61,10,"{""name"":""point"",""cx"":363,""cy"":28}","{}"
GW1_1_2.png,12512,"{}",61,11,"{""name"":""point"",""cx"":337,""cy"":446}","{}"
GW1_1_2.png,12512,"{}",61,12,"{""name"":""point"",""cx"":385,""cy"":431}","{}"
GW1_1_2.png,12512,"{}",61,13,"{""name"":""point"",""cx"":403,""cy"":465}","{}"
GW1_1_2.png,12512,"{}",61,14,"{""name"":""point"",""cx"":338,""cy"":561}","{}"
GW1_1_2.png,12512,"{}",61,15,"{""name"":""point"",""cx"":366,""cy"":611}","{}"
GW1_1_2.png,12512,"{}",61,16,"{""name"":""point"",""cx"":365,""cy"":630}","{}"
GW1_1_2.png,12512,"{}",61,17,"{""name"":""point"",""cx"":356,""cy"":647}","{}"
GW1_1_2.png,12512,"{}",61,18,"{""name"":""point"",""cx"":357,""cy"":667}","{}"
GW1_1_2.png,12512,"{}",61,19,"{""name"":""point"",""cx"":348,""cy"":622}","{}"
GW1_1_2.png,12512,"{}",61,20,"{""name"":""point"",""cx"":401,""cy"":559}","{}"
GW1_1_2.png,12512,"{}",61,21,"{""name"":""point"",""cx"":402,""cy"":685}","{}"
GW1_1_2.png,12512,"{}",61,22,"{""name"":""point"",""cx"":424,""cy"":764}","{}"
GW1_1_2.png,12512,"{}",61,23,"{""name"":""point"",""cx"":432,""cy"":782}","{}"
GW1_1_2.png,12512,"{}",61,24,"{""name"":""point"",""cx"":442,""cy"":794}","{}"
GW1_1_2.png,12512,"{}",61,25,"{""name"":""point"",""cx"":461,""cy"":852}","{}"
