filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
GW1_4_1.png,13974,"{}",26,0,"{""name"":""point"",""cx"":189,""cy"":429}","{}"
GW1_4_1.png,13974,"{}",26,1,"{""name"":""point"",""cx"":194,""cy"":398}","{}"
GW1_4_1.png,13974,"{}",26,2,"{""name"":""point"",""cx"":204,""cy"":371}","{}"
GW1_4_1.png,13974,"{}",26,3,"{""name"":""point"",""cx"":232,""cy"":382}","{}"
GW1_4_1.png,13974,"{}",26,4,"{""name"":""point"",""cx"":207,""cy"":336}","{}"
GW1_4_1.png,13974,"{}",26,5,"{""name"":""point"",""cx"":242,""cy"":336}","{}"
GW1_4_1.png,13974,"{}",26,6,"{""name"":""point"",""cx"":250,""cy"":404}","{}"
GW1_4_1.png,13974,"{}",26,7,"{""name"":""point"",""cx"":215,""cy"":437}","{}"
GW1_4_1.png,13974,"{}",26,8,"{""name"":""point"",""cx"":228,""cy"":431}","{}"
GW1_4_1.png,13974,"{}",26,9,"{""name"":""point"",""cx"":262,""cy"":424}","{}"
GW1_4_1.png,13974,"{}",26,10,"{""name"":""point"",""cx"":278,""cy"":459}","{}"
GW1_4_1.png,13974,"{}",26,11,"{""name"":""point"",""cx"":298,""cy"":489}","{}"
GW1_4_1.png,13974,"{}",26,12,"{""name"":""point"",""cx"":263,""cy"":84}","{}"
GW1_4_1.png,13974,"{}",26,13,"{""name"":""point"",""cx"":297,""cy"":1097}","{}"
GW1_4_1.png,13974,"{}",26,14,"{""name"":""point"",""cx"":289,""cy"":1116}","{}"
GW1_4_1.png,13974,"{}",26,15,"{""name"":""point"",""cx"":96,""cy"":1092}","{}"
GW1_4_1.png,13974,"{}",26,16,"{""name"":""point"",""cx"":255,""cy"":1266}","{}"
GW1_4_1.png,13974,"{}",26,17,"{""name"":""point"",""cx"":261,""cy"":1392}","{}"
GW1_4_1.png,13974,"{}",26,18,"{""name"":""point"",""cx"":263,""cy"":1438}","{}"
GW1_4_1.png,13974,"{}",26,19,"{""name"":""point"",""cx"":256,""cy"":1456}","{}"
GW1_4_1.png,13974,"{}",26,20,"{""name"":""point"",""cx"":252,""cy"":1498}","{}"
GW1_4_1.png,13974,"{}",26,21,"{""name"":""point"",""cx"":239,""cy"":1544}","{}"
GW1_4_1.png,13974,"{}",26,22,"{""name"":""point"",""cx"":258,""cy"":1566}","{}"
GW1_4_1.png,13974,"{}",26,23,"{""name"":""point"",""cx"":215,""cy"":1408}","{}"
GW1_4_1.png,13974,"{}",26,24,"{""name"":""point"",""cx"":197,""cy"":1392}","{}"
GW1_4_1.png,13974,"{}",26,25,"{""name"":""point"",""cx"":224,""cy"":1416}","{}"
